時間,買賣契約價格平均單價(不分建物類別)
089Q1,---
089Q2,---
089Q3,---
089Q4,---
090Q1,---
090Q2,---
090Q3,---
090Q4,---
091Q1,---
091Q2,---
091Q3,---
091Q4,---
092Q1,---
092Q2,---
092Q3,---
092Q4,---
093Q1,---
093Q2,---
093Q3,---
093Q4,---
094Q1,---
094Q2,---
094Q3,---
094Q4,---
095Q1,---
095Q2,---
095Q3,---
095Q4,---
096Q1,---
096Q2,---
096Q3,12.64
096Q4,11.89
097Q1,12.65
097Q2,13.15
097Q3,13.14
097Q4,11.23
098Q1,12.29
098Q2,12.55
098Q3,12.32
098Q4,12.52
099Q1,13.13
099Q2,12.19
099Q3,12.42
099Q4,12.99
100Q1,13.08
100Q2,12.74
100Q3,13.12
100Q4,13.51
101Q1,14.21
101Q2,15.06
101Q3,14.25
101Q4,14.51
102Q1,14.71
102Q2,15.35
102Q3,16.09
102Q4,16.48
103Q1,16.55
103Q2,16.9
103Q3,16.82
103Q4,17.22
104Q1,16.83
104Q2,16.72
104Q3,16.9
104Q4,17.14
105Q1,17.47
105Q2,17.86
105Q3,17.43
105Q4,17.25
106Q1,16.94
106Q2,17.27
106Q3,17.13
106Q4,16.93
107Q1,16.92
107Q2,16.45
107Q3,16.98
107Q4,16.8
108Q1,17.84
108Q2,17.61
108Q3,17.66
108Q4,16.57
109Q1,18.27
109Q2,18.4
109Q3,19.09
109Q4,---
110Q1,---
